ts_code,detect_date
002552.SZ,20250410
002913.SZ,20250410
301148.SZ,20250410
600483.SH,20250410
000025.SZ,20250418
600382.SH,20250507
603588.SH,20250519
002366.SZ,20250529
300587.SZ,20250609
605167.SH,20250616
002430.SZ,20250704
000506.SZ,20250708
600392.SH,20250711
000777.SZ,20250714
000825.SZ,20250721
601611.SH,20250721
000922.SZ,20250722
603169.SH,20250723
002639.SZ,20250724
605088.SH,20250728
300584.SZ,20250805
000688.SZ,20250811
001203.SZ,20250811
002340.SZ,20250811
600338.SH,20250811
600425.SH,20250811
600444.SH,20250811
600581.SH,20250812
000792.SZ,20250818
001360.SZ,20250818
002466.SZ,20250818
300814.SZ,20250818
603132.SH,20250818
605020.SH,20250818
002645.SZ,20250819
002576.SZ,20250820
301282.SZ,20250820
603657.SH,20250820
002056.SZ,20250821
002315.SZ,20250821
002714.SZ,20250821
300777.SZ,20250821
600660.SH,20250821
601319.SH,20250821
605296.SH,20250821
002080.SZ,20250822
002177.SZ,20250822
002212.SZ,20250822
002838.SZ,20250822
003023.SZ,20250822
300113.SZ,20250822
300314.SZ,20250822
300324.SZ,20250822
301035.SZ,20250822
600031.SH,20250822
600315.SH,20250822
600475.SH,20250822
600633.SH,20250822
600728.SH,20250822
603187.SH,20250822
603227.SH,20250822
603897.SH,20250822
603966.SH,20250822
605028.SH,20250822
605255.SH,20250822
605303.SH,20250822
000070.SZ,20250825
000157.SZ,20250825
000426.SZ,20250825
000586.SZ,20250825
000630.SZ,20250825
000779.SZ,20250825
000791.SZ,20250825
000837.SZ,20250825
000933.SZ,20250825
000960.SZ,20250825
000975.SZ,20250825
001267.SZ,20250825
001339.SZ,20250825
002057.SZ,20250825
002080.SZ,20250825
002091.SZ,20250825
002190.SZ,20250825
002272.SZ,20250825
002290.SZ,20250825
002378.SZ,20250825
002402.SZ,20250825
002491.SZ,20250825
002527.SZ,20250825
002571.SZ,20250825
002580.SZ,20250825
002611.SZ,20250825
002706.SZ,20250825
002716.SZ,20250825
002767.SZ,20250825
002821.SZ,20250825
003015.SZ,20250825
300003.SZ,20250825
300066.SZ,20250825
300083.SZ,20250825
300233.SZ,20250825
300265.SZ,20250825
300329.SZ,20250825
300353.SZ,20250825
300416.SZ,20250825
300420.SZ,20250825
300687.SZ,20250825
300697.SZ,20250825
300715.SZ,20250825
300738.SZ,20250825
300753.SZ,20250825
300857.SZ,20250825
300863.SZ,20250825
300947.SZ,20250825
300953.SZ,20250825
301082.SZ,20250825
301322.SZ,20250825
301377.SZ,20250825
301396.SZ,20250825
600058.SH,20250825
600095.SH,20250825
600105.SH,20250825
600111.SH,20250825
600120.SH,20250825
600490.SH,20250825
600531.SH,20250825
600539.SH,20250825
600547.SH,20250825
600589.SH,20250825
600666.SH,20250825
600728.SH,20250825
600797.SH,20250825
600875.SH,20250825
600885.SH,20250825
600888.SH,20250825
600961.SH,20250825
600988.SH,20250825
601059.SH,20250825
601608.SH,20250825
601789.SH,20250825
601899.SH,20250825
603031.SH,20250825
603070.SH,20250825
603081.SH,20250825
603118.SH,20250825
603119.SH,20250825
603163.SH,20250825
603228.SH,20250825
603259.SH,20250825
603267.SH,20250825
603300.SH,20250825
603379.SH,20250825
603456.SH,20250825
603716.SH,20250825
603898.SH,20250825
603958.SH,20250825
603979.SH,20250825
603989.SH,20250825
603993.SH,20250825
605303.SH,20250825
000758.SZ,20250826
000807.SZ,20250826
001359.SZ,20250826
002600.SZ,20250826
002627.SZ,20250826
002658.SZ,20250826
002676.SZ,20250826
002690.SZ,20250826
002811.SZ,20250826
300005.SZ,20250826
300042.SZ,20250826
300139.SZ,20250826
300206.SZ,20250826
300286.SZ,20250826
300605.SZ,20250826
300971.SZ,20250826
301603.SZ,20250826
301607.SZ,20250826
600113.SH,20250826
600262.SH,20250826
600389.SH,20250826
600526.SH,20250826
600558.SH,20250826
600704.SH,20250826
600761.SH,20250826
603057.SH,20250826
603201.SH,20250826
603815.SH,20250826
603929.SH,20250826
603987.SH,20250826
000590.SZ,20250827
001216.SZ,20250827
002048.SZ,20250827
002082.SZ,20250827
002261.SZ,20250827
002487.SZ,20250827
002950.SZ,20250827
300073.SZ,20250827
300143.SZ,20250827
300150.SZ,20250827
300244.SZ,20250827
300428.SZ,20250827
300496.SZ,20250827
301330.SZ,20250827
600284.SH,20250827
601033.SH,20250827
603181.SH,20250827
603360.SH,20250827
603798.SH,20250827
603859.SH,20250827
603950.SH,20250827
002250.SZ,20250828
300435.SZ,20250828
301183.SZ,20250828
600211.SH,20250828
601877.SH,20250828
603893.SH,20250828
605188.SH,20250828
000603.SZ,20250829
000737.SZ,20250829
000831.SZ,20250829
000892.SZ,20250829
000920.SZ,20250829
000962.SZ,20250829
001222.SZ,20250829
002115.SZ,20250829
002195.SZ,20250829
002244.SZ,20250829
002384.SZ,20250829
002484.SZ,20250829
002564.SZ,20250829
002669.SZ,20250829
002837.SZ,20250829
002926.SZ,20250829
002957.SZ,20250829
300007.SZ,20250829
300043.SZ,20250829
300132.SZ,20250829
300450.SZ,20250829
300701.SZ,20250829
300709.SZ,20250829
300797.SZ,20250829
300852.SZ,20250829
300955.SZ,20250829
300972.SZ,20250829
300973.SZ,20250829
300988.SZ,20250829
300990.SZ,20250829
301021.SZ,20250829
301065.SZ,20250829
301150.SZ,20250829
301177.SZ,20250829
301178.SZ,20250829
301186.SZ,20250829
301196.SZ,20250829
301257.SZ,20250829
301365.SZ,20250829
301389.SZ,20250829
301448.SZ,20250829
301488.SZ,20250829
600114.SH,20250829
600156.SH,20250829
600160.SH,20250829
600176.SH,20250829
600230.SH,20250829
600287.SH,20250829
600362.SH,20250829
600435.SH,20250829
600489.SH,20250829
600651.SH,20250829
600711.SH,20250829
600928.SH,20250829
601319.SH,20250829
601336.SH,20250829
601601.SH,20250829
601717.SH,20250829
601869.SH,20250829
601991.SH,20250829
603020.SH,20250829
603068.SH,20250829
603087.SH,20250829
603177.SH,20250829
603217.SH,20250829
603269.SH,20250829
603610.SH,20250829
603948.SH,20250829
603966.SH,20250829
605006.SH,20250829
605255.SH,20250829
605288.SH,20250829
000426.SZ,20250901
000603.SZ,20250901
000988.SZ,20250901
001337.SZ,20250901
002028.SZ,20250901
002074.SZ,20250901
002237.SZ,20250901
002266.SZ,20250901
002281.SZ,20250901
002315.SZ,20250901
002484.SZ,20250901
002763.SZ,20250901
002989.SZ,20250901
300139.SZ,20250901
300213.SZ,20250901
300249.SZ,20250901
300324.SZ,20250901
300353.SZ,20250901
300450.SZ,20250901
300458.SZ,20250901
300468.SZ,20250901
300475.SZ,20250901
300593.SZ,20250901
300682.SZ,20250901
300731.SZ,20250901
300950.SZ,20250901
301031.SZ,20250901
301193.SZ,20250901
600063.SH,20250901
600089.SH,20250901
600226.SH,20250901
600319.SH,20250901
600353.SH,20250901
600489.SH,20250901
600673.SH,20250901
600711.SH,20250901
600797.SH,20250901
600988.SH,20250901
601116.SH,20250901
601696.SH,20250901
601929.SH,20250901
603115.SH,20250901
603177.SH,20250901
603203.SH,20250901
603289.SH,20250901
603316.SH,20250901
603565.SH,20250901
603590.SH,20250901
603936.SH,20250901
603948.SH,20250901
603949.SH,20250901
605118.SH,20250901
605133.SH,20250901
605138.SH,20250901
605298.SH,20250901
002248.SZ,20250902
002532.SZ,20250902
002716.SZ,20250902
002846.SZ,20250902
300690.SZ,20250902
300971.SZ,20250902
301310.SZ,20250902
600021.SH,20250902
600531.SH,20250902
600737.SH,20250902
601022.SH,20250902
601212.SH,20250902
601958.SH,20250902
603032.SH,20250902
603200.SH,20250902
603500.SH,20250902
603881.SH,20250902
605288.SH,20250902
002975.SZ,20250903
300092.SZ,20250903
601069.SH,20250903
605255.SH,20250903
601678.SH,20250905
000655.SZ,20250908
000881.SZ,20250908
002171.SZ,20250908
002460.SZ,20250908
002901.SZ,20250908
002978.SZ,20250908
300082.SZ,20250908
300611.SZ,20250908
301150.SZ,20250908
301225.SZ,20250908
601677.SH,20250908
000757.SZ,20250909
600988.SH,20250909
000988.SZ,20250911
002080.SZ,20250911
002313.SZ,20250911
002384.SZ,20250911
002463.SZ,20250911
002516.SZ,20250911
003022.SZ,20250911
300153.SZ,20250911
300308.SZ,20250911
300395.SZ,20250911
301248.SZ,20250911
301397.SZ,20250911
601116.SH,20250911
601138.SH,20250911
603151.SH,20250911
603256.SH,20250911
605069.SH,20250911
000032.SZ,20250912
000070.SZ,20250912
000592.SZ,20250912
000603.SZ,20250912
000612.SZ,20250912
000737.SZ,20250912
000807.SZ,20250912
000878.SZ,20250912
000880.SZ,20250912
000933.SZ,20250912
001202.SZ,20250912
001309.SZ,20250912
002062.SZ,20250912
002335.SZ,20250912
002379.SZ,20250912
002436.SZ,20250912
002491.SZ,20250912
002515.SZ,20250912
002527.SZ,20250912
002532.SZ,20250912
002578.SZ,20250912
002642.SZ,20250912
002772.SZ,20250912
002798.SZ,20250912
002863.SZ,20250912
002905.SZ,20250912
002968.SZ,20250912
300244.SZ,20250912
300252.SZ,20250912
300324.SZ,20250912
300373.SZ,20250912
300670.SZ,20250912
300697.SZ,20250912
300738.SZ,20250912
300852.SZ,20250912
300895.SZ,20250912
301002.SZ,20250912
301308.SZ,20250912
600067.SH,20250912
600106.SH,20250912
600172.SH,20250912
600353.SH,20250912
600362.SH,20250912
600521.SH,20250912
600595.SH,20250912
600601.SH,20250912
600629.SH,20250912
600633.SH,20250912
600651.SH,20250912
600704.SH,20250912
600846.SH,20250912
601168.SH,20250912
601208.SH,20250912
601518.SH,20250912
601619.SH,20250912
603083.SH,20250912
603161.SH,20250912
603203.SH,20250912
603228.SH,20250912
603359.SH,20250912
603516.SH,20250912
603698.SH,20250912
603881.SH,20250912
603888.SH,20250912
603979.SH,20250912
