stock,ratio
芯瑞达,5.5014229892592335
塔牌集团,5.056743950665504
杰瑞股份,4.924477458283859
博云新材,4.1897627757413245
莱茵生物,3.959380195630729
恒辉安防,3.901760001128671
阳光乳业,3.808527412312875
中创物流,3.5666761525931623
航天机电,3.2953602686527432
普天科技,3.1492060634807357
正邦科技,3.133768429556546
张家港行,3.1274826159675437
陕鼓动力,2.9551995101204924
光启技术,2.8825585704240644
友阿股份,2.8583343711774396
军信股份,2.815643267207261
秦安股份,2.6443382097388057
锦和商管,2.643808165217732
湖南白银,2.612857136439717
乾照光电,2.484510596562576
江西铜业,2.352370500650685
航天电子,2.1776550080904764
云南铜业,2.0856705798150266
中创智领,2.0791378524686714
煌上煌,2.077272517636736
白银有色,2.075573155759443
山金国际,2.0416411889691464
铜陵有色,2.02899696589293
