stock,ratio
东岳硅材,5.595060440106753
摩恩电气,5.389619739669465
亿晶光电,4.344157055457251
海新能科,4.013621096791421
清水源,4.001915520073867
雪迪龙,3.879249087695864
中源协和,3.7930831453618206
重庆建工,3.777922569756522
江苏国泰,3.672196286361131
华鲁恒升,3.38210943165831
三祥新材,3.204117146726569
索通发展,3.0744844182952464
丰元股份,2.8952453929528583
云天化,2.8898020794619232
安纳达,2.868630848877257
奥美医疗,2.8285746375446976
海南矿业,2.768958876116023
中达安,2.6924732555723296
联化科技,2.653709604167534
恒逸石化,2.6507001374259214
鲁西化工,2.641997860788013
雷科防务,2.6348989940045833
洪兴股份,2.4761657921188784
萃华珠宝,2.470719816614227
云图控股,2.464663877354546
新华制药,2.4022655667281545
永太科技,2.3710319385636365
上海港湾,2.2155085404254757
双鹭药业,2.077917726317904
华电能源,2.0739894977778666
