stock,close,pct_chg,close_strength_pct,body,gap
300308,851.0,5.11,68.72,10.0,10.13
603083,145.29,10.0,100.0,6.29,6.35
300905,55.58,19.99,100.0,0.0,5.56
002487,85.47,10.0,100.0,0.01,3.99
002384,162.1,8.39,80.88,7.1,2.61
603052,83.35,10.0,100.0,4.35,2.31
300502,589.0,9.58,97.96,39.0,2.1
301338,180.91,10.93,60.44,13.11,2.04
600961,22.09,10.01,0.0,0.0,2.01
002281,116.83,10.0,100.0,5.84,1.76
002428,62.0,10.01,100.0,1.47,1.67
000657,56.12,8.13,73.92,2.62,1.47
600330,21.73,10.03,0.0,0.0,1.4
002580,30.58,10.0,100.0,1.45,1.27
002859,50.22,8.4,80.17,1.57,1.14
605060,60.22,2.15,9.36,0.22,1.05
002595,90.5,1.66,16.89,-0.99,0.86
600683,11.99,10.0,100.0,0.01,0.78
002297,17.69,10.01,100.0,0.68,0.66
002203,17.39,9.99,100.0,0.78,0.65
300776,99.36,20.0,100.0,14.58,0.5
603031,57.46,9.99,100.0,4.19,0.42
300394,379.28,6.67,81.38,17.39,0.37
001389,149.22,10.0,100.0,12.2,0.36
001267,44.71,7.63,83.67,2.08,0.32
000967,14.0,7.12,69.7,-0.01,0.24
601778,6.91,3.75,10.64,-0.09,0.2
603315,18.52,9.98,100.0,1.51,0.17
000301,12.17,5.46,50.57,0.36,0.13
002687,5.08,3.67,8.82,-0.09,0.13
300617,60.78,2.03,43.58,0.02,0.12
000593,18.76,2.35,32.35,-0.12,0.1
603906,25.99,3.75,43.19,0.19,0.02
300337,14.24,5.01,74.67,0.44,0.01
300132,8.9,5.08,81.63,0.38,0.01
