ts_code,detect_date,trade_date,ratio,close_strength,highest_high_13
002107.SZ,20251204,20251204,2.79,1.0,6.58
001211.SZ,20251204,20251204,2.68,1.0,29.28
000703.SZ,20251202,20251202,2.83,1.0,7.74
001318.SZ,20251201,20251201,2.65,1.0,15.97
300952.SZ,20251201,20251201,2.43,0.77,30.8
002544.SZ,20251201,20251201,2.35,0.73,28.2
600362.SH,20251201,20251201,2.3,0.8,40.44
002625.SZ,20251201,20251201,2.26,1.0,46.0
601717.SH,20251201,20251201,2.0,0.9,23.98
002413.SZ,20251126,20251126,2.32,1.0,7.01
000407.SZ,20251118,20251118,4.49,1.0,6.09
002682.SZ,20251118,20251118,2.5,1.0,7.13
600698.SH,20251117,20251117,2.86,0.73,10.3
600829.SH,20251117,20251117,2.8,1.0,15.13
600097.SH,20251117,20251117,2.68,1.0,12.2
000633.SZ,20251114,20251114,3.12,1.0,7.48
000632.SZ,20251114,20251114,2.42,1.0,7.23
600829.SH,20251114,20251114,2.34,1.0,13.75
001266.SZ,20251114,20251114,2.29,1.0,33.65
002780.SZ,20251114,20251114,2.26,1.0,17.45
600903.SH,20251114,20251114,2.04,0.78,7.24
603778.SH,20251114,20251114,2.03,1.0,7.73
002309.SZ,20251113,20251113,3.25,1.0,3.84
600429.SH,20251113,20251113,2.91,1.0,6.62
603867.SH,20251113,20251113,2.82,0.94,32.35
301305.SZ,20251112,20251112,2.83,0.72,23.3
301305.SZ,20251112,20251112,2.83,0.72,23.3
000061.SZ,20251112,20251112,2.75,1.0,9.25
300858.SZ,20251112,20251112,2.55,0.77,18.09
300263.SZ,20251111,20251111,3.21,0.73,8.75
600094.SH,20251111,20251111,2.4,1.0,5.68
600645.SH,20251110,20251110,3.01,0.87,26.5
002731.SZ,20251110,20251110,2.38,0.76,14.0
000703.SZ,20251110,20251110,2.27,0.82,7.06
603612.SH,20251110,20251110,2.23,0.78,27.27
000830.SZ,20251110,20251110,2.21,1.0,14.27
600939.SH,20251110,20251110,2.21,1.0,3.97
000830.SZ,20251110,20251110,2.21,1.0,14.27
002038.SZ,20251110,20251110,2.13,0.71,7.82
300437.SZ,20251110,20251110,2.0,1.0,14.66
002170.SZ,20251107,20251107,2.88,0.89,12.42
002170.SZ,20251107,20251107,2.88,0.89,12.42
002255.SZ,20251107,20251107,2.7,1.0,13.07
002186.SZ,20251107,20251107,2.67,0.74,12.1
000514.SZ,20251107,20251107,2.25,1.0,5.81
000534.SZ,20251107,20251107,2.1,0.86,20.69
300775.SZ,20251106,20251106,3.56,1.0,26.37
301548.SZ,20251106,20251106,3.35,0.91,55.95
300109.SZ,20251106,20251106,2.64,0.87,16.96
000533.SZ,20251106,20251106,2.17,1.0,7.94
002562.SZ,20251106,20251106,2.14,1.0,7.4
002300.SZ,20251106,20251106,2.13,1.0,7.24
300402.SZ,20251104,20251104,3.76,1.0,21.85
300402.SZ,20251104,20251104,3.76,1.0,21.85
600308.SH,20251104,20251104,3.06,1.0,4.09
603169.SH,20251104,20251104,2.54,1.0,9.58
603823.SH,20251104,20251104,2.45,1.0,17.63
605155.SH,20251103,20251103,2.25,0.97,17.05
600444.SH,20251103,20251103,2.01,1.0,19.4
603190.SH,20251031,20251031,3.76,1.0,24.06
600295.SH,20251030,20251030,2.24,1.0,11.23
603739.SH,20251029,20251029,2.04,1.0,14.23
600195.SH,20251028,20251028,2.74,0.78,7.52
301223.SZ,20251028,20251028,2.24,0.93,18.35
301097.SZ,20251027,20251027,3.72,1.0,47.0
301287.SZ,20251027,20251027,2.07,0.93,40.0
000543.SZ,20251027,20251027,2.01,1.0,8.17
002454.SZ,20251024,20251024,2.31,0.74,8.82
603856.SH,20251024,20251024,2.27,0.71,12.49
000852.SZ,20251023,20251023,3.92,1.0,8.49
002243.SZ,20251023,20251023,2.87,1.0,9.85
002337.SZ,20251023,20251023,2.64,1.0,6.38
000637.SZ,20251022,20251022,3.24,1.0,4.73
600871.SH,20251022,20251022,2.33,1.0,2.3
001228.SZ,20251020,20251020,3.25,1.0,25.2
601628.SH,20251016,20251016,2.34,0.93,40.78
601611.SH,20251010,20251010,2.17,1.0,9.74
300611.SZ,20251009,20251009,2.78,0.86,26.83
600483.SH,20251009,20251009,2.32,0.9,9.92
301167.SZ,20251009,20251009,2.21,0.84,16.49
605376.SH,20250930,20250930,2.98,1.0,59.49
000923.SZ,20250930,20250930,2.24,1.0,16.7
603026.SH,20250930,20250930,2.16,1.0,47.09
600769.SH,20250926,20250926,2.29,1.0,12.27
301137.SZ,20250925,20250925,3.29,1.0,33.55
603993.SH,20250925,20250925,2.38,0.97,13.73
300604.SZ,20250924,20250924,2.02,1.0,80.27
300001.SZ,20250923,20250923,3.0,0.74,25.76
603061.SH,20250923,20250923,2.37,0.99,115.5
300250.SZ,20250923,20250923,2.22,1.0,21.91
600797.SH,20250923,20250923,2.11,0.71,11.59
002246.SZ,20250922,20250922,2.46,0.96,17.17
600857.SH,20250922,20250922,2.24,1.0,13.88
600706.SH,20250919,20250919,2.03,1.0,11.87
000559.SZ,20250918,20250918,2.59,1.0,10.47
301013.SZ,20250918,20250918,2.45,1.0,24.36
603988.SH,20250918,20250918,2.15,1.0,28.96
002562.SZ,20250917,20250917,2.25,1.0,7.0
300013.SZ,20250916,20250916,3.44,1.0,4.1
603266.SH,20250916,20250916,2.48,1.0,23.67
002183.SZ,20250916,20250916,2.2,1.0,5.49
603655.SH,20250916,20250916,2.12,1.0,42.16
002471.SZ,20250915,20250915,2.74,1.0,4.95
300813.SZ,20250915,20250915,2.25,0.74,35.3
002703.SZ,20250915,20250915,2.11,1.0,13.06
300697.SZ,20250912,20250912,3.15,1.0,16.26
002772.SZ,20250912,20250912,2.6,1.0,9.17
301308.SZ,20250912,20250912,2.49,0.73,102.0
600846.SH,20250912,20250912,2.41,0.79,12.13
001202.SZ,20250912,20250912,2.36,1.0,16.72
000878.SZ,20250912,20250912,2.05,0.84,15.77
002968.SZ,20250912,20250912,2.02,1.0,11.89
002975.SZ,20250903,20250903,3.0,1.0,58.08
300092.SZ,20250903,20250903,2.12,1.0,16.34
002266.SZ,20250901,20250901,2.33,1.0,3.72
002028.SZ,20250901,20250901,2.12,1.0,87.99
600928.SH,20250829,20250829,2.89,1.0,3.92
603020.SH,20250829,20250829,2.34,1.0,9.88
301177.SZ,20250829,20250829,2.24,1.0,30.77
002115.SZ,20250829,20250829,2.19,1.0,9.52
301257.SZ,20250829,20250829,2.14,1.0,41.88
300972.SZ,20250829,20250829,2.04,1.0,180.87
601877.SH,20250828,20250828,2.33,1.0,26.4
002950.SZ,20250827,20250827,3.08,1.0,10.26
600704.SH,20250826,20250826,2.39,1.0,5.8
300971.SZ,20250826,20250826,2.35,1.0,23.47
603987.SH,20250826,20250826,2.08,1.0,9.62
600262.SH,20250826,20250826,2.01,1.0,24.8
002091.SZ,20250825,20250825,2.67,1.0,7.64
300715.SZ,20250825,20250825,2.13,0.73,11.76
002571.SZ,20250825,20250825,2.09,0.71,7.51
300947.SZ,20250825,20250825,2.08,0.8,23.28
603227.SH,20250822,20250822,2.71,1.0,9.29
002838.SZ,20250822,20250822,2.48,1.0,26.02
300113.SZ,20250822,20250822,2.05,1.0,23.3
300845.SZ,20250818,20250818,2.11,0.82,12.28
600581.SH,20250812,20250812,2.2,1.0,4.66
600425.SH,20250811,20250811,3.2,1.0,4.49
002142.SZ,20250725,20250725,2.0,0.87,28.13
601021.SH,20250723,20250723,2.19,0.73,55.27
000922.SZ,20250722,20250722,2.87,1.0,11.83
300587.SZ,20250609,20250609,2.17,0.81,6.5
002366.SZ,20250529,20250529,2.46,1.0,7.49
000025.SZ,20250418,20250418,2.25,1.0,19.37
