stock,ratio
湖南白银,1.9471938293185096
兄弟科技,1.8454606255857189
湖南黄金,1.7401902701052299
蓝黛科技,1.6695173342399459
盛帮股份,1.656320352281152
长芯博创,1.619660319308386
赤峰黄金,1.4633077637991472
亚太股份,1.439788875530895
新联电子,1.3139710473923554
武汉凡谷,1.2725272577668232
晓鸣股份,1.2444185661924647
震裕科技,1.2042069503134945
美力科技,1.0438683910781998
中宠股份,0.9819497886471569
江南奕帆,0.9653649383568098
青岛银行,0.9191133883268424
麦加芯彩,0.9168870929211236
有友食品,0.889118345770342
中熔电气,0.8685637694375822
新强联,0.8134824134209827
日久光电,0.748303671728867
本川智能,0.7302394686420213
浙江自然,0.702664461441155
咸亨国际,0.6577979564530556
湘佳股份,0.6101167750616999
依依股份,0.5887819184221899
新农股份,0.48583587341637796
中农联合,0.4608572648497265
春风动力,0.3904299742329681
